City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
202,Helena,US,46.5927,-112.0361,36.36,66,97,1.01,overcast clouds
203,Port Macquarie,AU,-31.4333,152.9167,64.36,71,100,10.47,overcast clouds
204,Chapais,CA,49.7834,-74.8492,60.58,96,100,3.18,overcast clouds
205,Nizwa,OM,22.9333,57.5333,78.04,33,0,2.39,clear sky
206,Bakchar,RU,57.0186,82.0711,24.78,72,32,3.74,scattered clouds
207,Hervey Bay,AU,-25.2986,152.8535,78.03,68,9,9.17,clear sky
208,Praia Da Vitoria,PT,38.7333,-27.0667,65.75,89,100,4.16,overcast clouds
209,Berwick,US,41.0545,-76.2333,64.54,81,99,2.44,overcast clouds
210,Almaznyy,RU,48.0448,40.045,51.94,84,45,11.5,scattered clouds
211,Lahij,YE,13.1667,44.5833,80.76,71,58,4.12,broken clouds
212,Flinders,AU,-34.5833,150.8552,62.26,77,100,11.21,overcast clouds
213,Saint-Leu,RE,-21.15,55.2833,72.46,88,69,1.59,broken clouds
214,Victoria,HK,22.2855,114.1577,81.25,94,100,1.99,light rain
215,Bathsheba,BB,13.2167,-59.5167,83.01,83,40,18.41,scattered clouds
216,Kahului,US,20.8947,-156.47,84.22,78,40,27.63,scattered clouds
217,Lompoc,US,34.6391,-120.4579,66.56,63,1,13.8,clear sky
218,Assiniboia,CA,49.6334,-105.9845,39.51,49,100,6.33,overcast clouds
219,Tomatlan,MX,19.9333,-105.25,77.02,93,100,4.54,overcast clouds
220,Saint-Pierre,RE,-21.3393,55.4781,73.08,94,90,0.0,overcast clouds
221,Atar,MR,20.5169,-13.0499,84.83,19,15,4.85,few clouds
222,Sechura,PE,-5.5569,-80.8222,66.04,77,92,15.75,overcast clouds
223,Bud,US,39.447,-86.1758,61.32,95,7,5.23,clear sky
224,Bolobo,CD,-2.1667,16.2333,72.75,85,39,1.32,scattered clouds
225,Christchurch,NZ,-43.5333,172.6333,49.32,79,75,10.0,broken clouds
226,Kruisfontein,ZA,-34.0033,24.7314,54.88,87,98,3.56,overcast clouds
227,Quang Ngai,VN,15.1167,108.8,78.87,80,100,5.12,heavy intensity rain
228,Lamar,US,33.6668,-95.5836,74.86,88,90,10.36,overcast clouds
229,Pangkalanbuun,ID,-2.6833,111.6167,85.05,69,99,4.32,overcast clouds
230,Mombetsu,JP,44.3525,143.3525,61.86,60,0,3.09,clear sky
